model,accuracy,precision,recall,f1
nb,0.8443699731903486,0.8481113792258378,0.8443699731903486,0.844069063429877
svm,0.8556300268096515,0.8557984892737117,0.8556300268096515,0.8555868000060022
rf,0.8280160857908847,0.8284559821771696,0.8280160857908847,0.8279049978351944
